sgRNA	Gene	PlasmidLib	R1_2iSL	R1_High	R1_Negative	R1_Selected	R2_2iSL	R2_High	R2_Negative	R2_Selected
gRNA_2812	RE61	4507.080393028121	5865.4319170788485	3856.1524024217497	5721.785467449924	6788.24301933596	6651.635346056428	5219.994200472806	10332.128758444593	5799.974937121611
Myrf_p1_7	Myrf_p1	4222.574017173411	6354.423714797422	5753.470779091886	5165.308856674882	7262.132922311026	8366.370121684671	5259.205424513917	6768.15428908424	7293.051442209015
Zfp280c_p1_6	Zfp280c_p1	2496.619114714393	3583.4701943921723	5053.949969536801	2904.230077002025	2809.072246735799	4023.2284586382084	4558.304794779071	3716.8485908797093	3489.35977320057
E2f8_p2_4	E2f8_p2	2146.1566951664163	1688.0095643466918	1538.7700220238112	2487.1866576401426	2241.5744616915836	2843.388560780566	2806.0532204419546	2439.8092121271047	4038.061942198526
Zscan10_p1_12	Zscan10_p1	2956.6719777986036	1613.9198980256958	2024.743649767482	1253.6425678408395	2735.5231965386106	3270.792601869994	3373.390618286769	5577.589160888039	3259.1254460079604
gRNA_1845	RE47	2954.0236471722965	2799.3545591616316	2719.8704843881756	1987.237016356922	2871.7560963356755	2994.387593261262	3293.742819453264	2895.343210593874	3628.603288448795
Ybx3_p1_6	Ybx3_p1	3919.6554379167583	4556.514478741253	6755.297064133088	5033.412594527299	5471.882177738553	6331.7221416481725	9713.35540543379	5710.388902813945	6497.57116202856
BRDN0000737520	NT	3352.282128976007	1413.8777989590067	1624.0131357510013	2017.3847334192267	2056.030266875949	3158.1831539182886	2994.757236139798	2765.6318347592687	2481.5675984832183
Cebpg_p1_6	Cebpg_p1	2546.937396614229	2363.460355639772	3188.268212394282	2460.807405210626	2657.7952230347637	2267.544792845708	2166.4201282713434	2546.357842276959	2777.977061635381
Mllt10_p2_2	Mllt10_p2	2928.0447848380454	3163.628751906528	2443.928858508406	3122.8010257037345	3702.5260496993724	2577.220774712898	1777.9839401140944	2418.1906494880036	3242.581662018072
Tcf12_p2_2	Tcf12_p2	4694.102979638286	5092.429731796457	3902.7285367262966	4067.4294936559504	4718.840197878703	8880.790554373145	4847.487572082259	12328.757436470129	6851.883869145331
Tox4_p2_6	Tox4_p2	3698.330664146805	5744.418795421221	4509.097077672288	6416.439114760529	5334.813493280157	4975.290154957174	3905.1928443443276	5551.338049111988	5032.067630257638
Zfp217_p1_6	Zfp217_p1	1801.1170478532588	2961.116997295806	2076.5925539932987	2658.023720993203	2432.1333644752085	1980.9025616959118	1177.5620719845933	1412.9274867698107	2375.41165121477
Gli2_p1_2	Gli2_p1	3774.249475434276	5025.74903210756	3837.6977076973067	5277.1066407809285	5811.210750239217	5195.390439590053	3696.883216625929	6348.136500667422	6698.853867238866
Etv5_p1_6	Etv5_p1	852.3841287242807	685.3294134692128	1176.7064874299733	1308.913382455065	657.7625284680374	1000.6885033890201	680.0696669630065	1616.7596487956193	1147.0356899655765
gRNA_2177	RE53	2933.2153351084544	3182.1511684867774	3032.7214997168317	2708.269916097044	4315.156206455498	3488.333580867607	4891.600199128508	4291.284683861534	3732.0019383855956
gRNA_6506	RE127	5177.612485412645	4887.448321641701	2897.3870717375817	6034.568031971336	6059.438794654729	7462.935232435761	4432.093667396747	11785.205004401305	7659.771987318201
