sgRNA	Gene	R1_Unsorted	R2_Unsorted	R1_Selected	R2_Selected	R1_Negative	R2_Negative	R1_Low	R2_Low	R1_High	R2_High	PlasmidLib
Map3k15_p1_2	Map3k15_p1	558.7969204506235	345.04877525622055	538.0948703288072	457.5731098432235	566.2338855888746	373.04090004055905	642.3018882098278	365.38084486394376	610.1482302074546	422.41307329219603	401.3404848455931
Zfp706_p2_4	Zfp706_p2	380.1729475886293	708.7876925054863	619.0113921827632	593.3866424460927	513.2414595545605	994.4078430075258	479.08440656235786	785.4524531310893	582.9020981413571	677.9469077529072	490.215417387158
Zfp59_p1_8	Zfp59_p1	621.8406755783861	345.04877525622055	322.65463089264944	337.2550809601448	581.9353451545974	347.6564600969707	578.8936579295157	335.1263800025981	721.6096795687622	358.52961467701823	330.2405388123412
Zkscan17_p2_1	Zkscan17_p2	378.26253076657594	503.1961305819883	335.8035656939173	329.96307920965523	435.7155029488047	452.5052337770095	443.8576119621845	536.4349346569365	470.61500841441017	439.3617459860187	297.49714261281724
Sall4_p1_9	Sall4_p1	192.95209902739478	146.64572948389375	155.76430456886524	280.7420673938503	190.38019723438765	107.05611628382908	233.67107084781668	58.181663194895506	204.7588106785504	102.99578021630705	225.46167097386464
Zfp600_p1_4	Zfp600_p1	213.01147565895562	409.7454206167619	189.1423698336221	251.11831028248622	219.8204339201177	339.9307609837047	227.79993841445446	329.30821368310853	222.92289872261534	451.0954424663575	214.23536370545645
Bbx_p1_3	Bbx_p1	959.0292446708137	843.9317961475061	778.8215228443263	876.8632104963766	855.7295463318868	730.6304018545861	956.9945866380432	963.4883425074696	838.8506114895451	958.2518792276669	842.9085707363156
Preb_p2_5	Preb_p2	671.5115129517749	396.8060915446536	344.90667440248734	358.67533610220806	501.4653648802685	403.9436964936231	616.468905503034	408.43527562816644	662.9892136083708	389.8194719579217	317.1431803325316
Zfp52_p1_3	Zfp52_p1	500.5292073779944	553.5157436401871	560.3469138386452	506.79412165902846	626.0957001831924	593.7751604195881	479.08440656235786	522.4713354901617	522.630351449687	542.3575262023257	578.1548243230222
Myc_p1_7	Myc_p1	647.6313026761072	613.8992793100257	768.7069576125817	650.3554061217928	536.7936489031446	600.3971882309589	598.8555082029472	560.8712331987927	739.7737676128272	587.98856807031	802.6809696911862
Zfp790_p1_7	Zfp790_p1	562.6177540947303	639.7779374542423	525.9573920507138	509.07287220605645	426.8834319430857	618.0559290612813	526.0534660292557	502.6895700038972	506.9431845025401	574.9511275366002	446.2457139192259
Zfp646_p2_9	Zfp646_p2	375.3969055334958	465.81584659589777	547.1979790373773	530.9488774575253	445.5289151773814	522.0365257964037	338.17722816166435	415.41707521155394	314.5689793085794	365.0483349438731	575.3482475059202
Hnrnpk_p4_1	Hnrnpk_p4	326.68127657113376	569.330479172764	792.9819141687685	741.0496778935075	310.1038264230232	664.4101237408773	285.3370362614043	605.0892972269132	380.6202085597247	589.2923121236809	730.6454980522336
Zfp825_p1_8	Zfp825_p1	296.1146074182791	191.21452962115555	362.10143529645296	311.73307483343115	281.6449309601508	129.12954232173198	225.45148544110958	171.05408979299278	312.9176985773008	224.24397717980779	253.52743914488516
Zbtb21_p1_8	Zbtb21_p1	784.2261054529263	649.8418600658821	670.5956748646602	649.8996560123873	690.8642208917985	760.4295270057551	712.7554774101745	759.8525213253353	613.4507916700119	747.0453425815689	662.3521288360837
Zfp12_p2_7	Zfp12_p2	319.0396092829201	178.27520054904727	215.44023943615778	225.14055404636696	316.9732149830269	172.17272309564265	385.14628762856216	130.32692555656593	315.39461967421875	156.44928640451704	192.71827477434076
Zfp710_p1_1	Zfp710_p1	533.0062933529024	820.928544463758	418.74300059422217	610.7051466035055	398.42453648021336	933.7059214032928	571.848299009481	914.6157454237573	596.9379843572256	846.1298906377631	450.9233419477293
Mier3_p1_11	Mier3_p1	271.2791887315847	283.2275363561477	296.35676129011375	320.8480770215432	166.82800788580363	238.39300120935135	254.8071476079207	282.76288312719214	236.1331445728444	267.26753094105	262.882695201892
Bbx_p2_3	Bbx_p2	839.6281932924753	648.4041568356478	398.51387013073315	539.6081295362317	833.1586982061605	753.8074991943841	840.7461644574711	562.0348664626906	829.7685674675126	589.2923121236809	464.0207004275389
