sgRNA	Gene	reporter	replicate	lfc	noRE	norm_lfc	zfc	pval	fdr
Yy1_p1_5	Yy1_p1	RE58	R2	-1.6504761110876915	-0.5400998998282515	-1.1103762112594402	1.5327052050334666	0.08714734448673433	1
Yy1_p1_5	Yy1_p1	RE61	R2	-1.9920136401067987	-0.5400998998282515	-1.4519137402785471	2.181179346640177	0.0038725620174358327	0.34853058156922495
Yy1_p1_5	Yy1_p1	RE85	R2	-1.035602622295231	-0.5400998998282515	-0.4955027224669796	0.31291617323782234	0.03683530073020931	1
Yy1_p1_5	Yy1_p1	RE127	R2	3.958714480868631e-4	-0.5400998998282515	0.5404957712763383	-1.434134018118744	0.013232338729670083	1
Yy1_p1_5	Yy1_p1	RE57L	R2	-1.772497536916085	-0.5400998998282515	-1.2323976370878333	1.0995081695244018	0.5358027256453952	1
Yy1_p1_5	Yy1_p1	RE57R	R2	-1.301652058750344	-0.5400998998282515	-0.7615521589220925	1.2787030852774142	0.7307885223569486	1
Yy1_p1_5	Yy1_p1	RE57M	R3	-1.6378864089207035	-0.5400998998282515	-1.097786509092452	1.1181056100360014	0.12837078559992174	1
Yy1_p1_5	Yy1_p1	RE97	R3	-3.215618745613111	-0.5400998998282515	-2.6755188457848593	4.6132762131679295	0.0047408292499878605	0.4456379494988589
Yy1_p1_5	Yy1_p1	RE93	R3	-2.135578721620941	-0.5400998998282515	-1.5954788217926894	3.005258060470697	0.6964525565923949	1
Yy1_p1_5	Yy1_p1	RE95	R3	-0.7278087374276945	-0.5400998998282515	-0.187708837599443	0.44576093645738485	0.8243013152656212	1
Yy1_p1_5	Yy1_p1	RE96	R3	-1.0762938716006256	-0.5400998998282515	-0.5361939717723742	0.5440878446359656	0.10988952868529937	1
Yy1_p1_5	Yy1_p1	RE58	R3	-1.6540541936940911	-0.5400998998282515	-1.1139542938658398	1.0126905247810698	0.08714734448673433	1
Yy1_p1_5	Yy1_p1	RE61	R3	-3.5379890006906956	-0.5400998998282515	-2.997889100862444	5.652814303726565	0.0038725620174358327	0.34853058156922495
Yy1_p1_5	Yy1_p1	RE85	R3	-1.3463153517628	-0.5400998998282515	-0.8062154519345485	0.8361409312004887	0.03683530073020931	1
Yy1_p1_5	Yy1_p1	RE127	R3	-0.6455166811926779	-0.5400998998282515	-0.10541678136442645	0.3706423260241156	0.013232338729670083	1
