sgRNA	Gene	replicate	reporter	H	L	lfc
Ubp1_p2_7	Ubp1_p2	R1	RE95	748.6123600029448	602.2989434961131	0.31373445838155406
Ubp1_p2_7	Ubp1_p2	R1	RE96	868.1716875867376	672.637743557783	0.36814580949006803
Ubp1_p2_7	Ubp1_p2	R1	RE58	567.1729461157838	341.71786053685366	0.7309662814865254
Ubp1_p2_7	Ubp1_p2	R1	RE61	641.7617363947454	443.1728560351407	0.5341581811340225
Ubp1_p2_7	Ubp1_p2	R1	RE85	507.70422577696564	528.1901646197642	-0.0570680672563681
Ubp1_p2_7	Ubp1_p2	R1	RE127	583.5399908844536	535.8945527282696	0.12288017996839602
Ubp1_p2_7	Ubp1_p2	R1	RE57L	308.9332822574138	547.1533412312191	-0.824629572544073
Ubp1_p2_7	Ubp1_p2	R1	RE57R	480.4746871284967	341.2969405291599	0.49342070140684247
Ubp1_p2_7	Ubp1_p2	R2	noRE	643.4028883751139	643.3755374913119	6.132892866169173e-5
Ubp1_p2_7	Ubp1_p2	R2	RE57M	726.2323134097539	579.2829193856085	0.32615795776840506
Ubp1_p2_7	Ubp1_p2	R2	RE97	543.0373305864991	721.0990326015271	-0.4091394682414625
Ubp1_p2_7	Ubp1_p2	R2	RE93	827.8349494505562	663.8911199208789	0.318392199112092
Ubp1_p2_7	Ubp1_p2	R2	RE95	305.477768543735	516.8998860442965	-0.7587981775039949
Ubp1_p2_7	Ubp1_p2	R2	RE96	612.7212989833597	563.9548243508991	0.1196493660690771
Ubp1_p2_7	Ubp1_p2	R2	RE58	391.19234286370676	557.4150194420151	-0.5108627473179734
Ubp1_p2_7	Ubp1_p2	R2	RE61	503.9653085925157	702.4336064712427	-0.4790293545567559
Ubp1_p2_7	Ubp1_p2	R2	RE85	535.5811599270436	602.5937632158947	-0.17007753368659442
Ubp1_p2_7	Ubp1_p2	R2	RE127	919.8696441738465	523.4832733417054	0.8132741139430597
Ubp1_p2_7	Ubp1_p2	R2	RE57L	297.41510630978064	376.1217701126558	-0.33871173570520235
Ubp1_p2_7	Ubp1_p2	R2	RE57R	485.15035699542966	254.78823665326004	0.9291063776520158
Ubp1_p2_7	Ubp1_p2	R3	noRE	921.3658783798977	476.73559129723986	0.9505702313972991
Ubp1_p2_7	Ubp1_p2	R3	RE57M	378.4233556637317	544.7001680737778	-0.5254495426252682
Ubp1_p2_7	Ubp1_p2	R3	RE97	533.2486223030163	680.5031205813931	-0.35178758995873705
Ubp1_p2_7	Ubp1_p2	R3	RE93	480.0313220906918	576.4399302926809	-0.2640367038936598
Ubp1_p2_7	Ubp1_p2	R3	RE95	659.2476949469736	557.7178594156859	0.24128116777670883
Ubp1_p2_7	Ubp1_p2	R3	RE96	671.4917693325002	499.7238388424529	0.42623128935421456
Ubp1_p2_7	Ubp1_p2	R3	RE58	160.31140287845238	430.1332894769828	-1.4238502930580408
Ubp1_p2_7	Ubp1_p2	R3	RE61	641.2561699289623	582.3192018889183	0.13908833265434234
Ubp1_p2_7	Ubp1_p2	R3	RE85	559.8840507005345	592.1938329971177	-0.08093997788457837
Ubp1_p2_7	Ubp1_p2	R3	RE127	640.5343576043888	731.6890132135148	-0.19195183275426822
Ubp1_p2_7	Ubp1_p2	R3	RE57L	514.3645356007978	613.8744687150161	-0.25514794709038574
Ubp1_p2_7	Ubp1_p2	R3	RE57R	399.8013153579056	458.2172824573813	-0.1967440545713162
gRNA_2556	RE58	R1	noRE	1010.5297235757868	696.082095297342	0.5377759369544772
gRNA_2556	RE58	R1	RE57M	441.7179880282502	864.9342264871746	-0.9694488626893568
gRNA_2556	RE58	R1	RE97	651.9951272462715	701.1204447729573	-0.10479957191150795
gRNA_2556	RE58	R1	RE93	620.4883931248074	509.451345992845	0.2844547843379633
gRNA_2556	RE58	R1	RE95	549.0079385282598	479.62791741692223	0.19490757395977654
gRNA_2556	RE58	R1	RE96	379.4066501021732	347.9160742540257	0.1250021891679025
gRNA_2556	RE58	R1	RE58	154.22384716075547	1084.070454116915	-2.8132805194445676
gRNA_2556	RE58	R1	RE61	425.72313206384104	612.4942591206915	-0.5247705059615566
gRNA_2556	RE58	R1	RE85	417.2222845493876	617.679708434323	-0.5660314987352001
gRNA_2556	RE58	R1	RE127	854.2780731558777	672.8992686972615	0.3443106477848044
gRNA_2556	RE58	R1	RE57L	354.55634081863525	456.6572415364882	-0.3650877165832868
gRNA_2556	RE58	R1	RE57R	381.35578314045017	311.1564314954159	0.2934889767482721
gRNA_2556	RE58	R2	noRE	410.01164455276864	507.68178776587155	-0.3082528538676017
gRNA_2556	RE58	R2	RE57M	489.7845834623922	362.9242386512246	0.4324686546799491
gRNA_2556	RE58	R2	RE97	293.9211954329566	875.2650326749571	-1.5742579351387986
gRNA_2556	RE58	R2	RE93	507.3322778030321	356.8804377039466	0.5074781407687272
gRNA_2556	RE58	R2	RE95	555.0661207874884	435.96659938857186	0.3484349282601046
gRNA_2556	RE58	R2	RE96	528.821702027132	699.871994248418	-0.40430302744199154
gRNA_2556	RE58	R2	RE58	286.87438476671826	1847.5395227335055	-2.6870716868002984
gRNA_2556	RE58	R2	RE61	394.6262017407729	569.402476005305	-0.5289507963360617
gRNA_2556	RE58	R2	RE85	416.10536271254927	423.44426604360166	-0.02522261111270753
gRNA_2556	RE58	R2	RE127	578.1859942067006	819.365123491365	-0.5029654790388969
gRNA_2556	RE58	R2	RE57L	363.06405050742734	372.61597465221826	-0.03746442171687031
gRNA_2556	RE58	R2	RE57R	471.1151489820614	309.6032357738817	0.6056431989882928
gRNA_2556	RE58	R3	noRE	697.1298453284045	614.2211363529982	0.182666441163215
gRNA_2556	RE58	R3	RE57M	500.3193404207991	474.2095580877595	0.07732289298049619
gRNA_2556	RE58	R3	RE97	344.90298372505083	528.4758276855499	-0.6156323457363768
gRNA_2556	RE58	R3	RE93	517.2751315632455	472.7289804910688	0.12991589498907244
gRNA_2556	RE58	R3	RE95	509.8124421501892	642.6656330206373	-0.33409589224772895
gRNA_2556	RE58	R3	RE96	518.4376506308895	562.3714337993785	-0.11735064401328235
gRNA_2556	RE58	R3	RE58	156.90052196614488	1243.4105174796814	-2.9863002862379595
gRNA_2556	RE58	R3	RE61	564.9834096290417	765.664473613358	-0.4384971216241127
gRNA_2556	RE58	R3	RE85	521.0802056024777	590.118387320726	-0.17949572071589795
gRNA_2556	RE58	R3	RE127	435.7239987465591	541.2382578275722	-0.31284279017685895
gRNA_2556	RE58	R3	RE57L	404.97479273546975	411.49827023753824	-0.0230536898160617
gRNA_2556	RE58	R3	RE57R	253.55731177228728	522.7771057589367	-1.043854783613102
Prdm14_p1_12	Prdm14_p1	R1	noRE	1007.7911606392671	709.2157197369145	0.5068942619537067
Prdm14_p1_12	Prdm14_p1	R1	RE57M	508.70839379556776	501.36865331968426	0.020966685506491084
Prdm14_p1_12	Prdm14_p1	R1	RE97	738.6728763229997	956.9533486841942	-0.3735085367236088
Prdm14_p1_12	Prdm14_p1	R1	RE93	906.6146662795331	806.6312978220046	0.16857814308794705
Prdm14_p1_12	Prdm14_p1	R1	RE95	636.3588177916537	664.4241841714115	-0.06226315473420352
Prdm14_p1_12	Prdm14_p1	R1	RE96	794.5221613904333	637.8461361323805	0.3168745475617583
Prdm14_p1_12	Prdm14_p1	R1	RE58	289.90712253169335	894.0635402839231	-1.6247529607537208
Prdm14_p1_12	Prdm14_p1	R1	RE61	629.961308427091	471.68105145260586	0.417443892175772
Prdm14_p1_12	Prdm14_p1	R1	RE85	559.9826807084552	484.45467328182195	0.20901650130610788
Prdm14_p1_12	Prdm14_p1	R1	RE127	474.93883923885414	721.3965132880551	-0.6030403317811789
Prdm14_p1_12	Prdm14_p1	R1	RE57L	763.8603519107362	1024.6942980818758	-0.42380794468975036
Prdm14_p1_12	Prdm14_p1	R1	RE57R	438.4751515403414	716.2803323313278	-0.7080164809385742
Prdm14_p1_12	Prdm14_p1	R2	noRE	790.5865556504667	528.7377144474053	0.5803621477732767
Prdm14_p1_12	Prdm14_p1	R2	RE57M	788.1590998245392	685.7174316823618	0.20086995311599887
Prdm14_p1_12	Prdm14_p1	R2	RE97	594.1150993050312	971.7431101402648	-0.7098230823164374
Prdm14_p1_12	Prdm14_p1	R2	RE93	611.3002176301558	921.0320466507967	-0.5913623375820288
Prdm14_p1_12	Prdm14_p1	R2	RE95	709.7190261655197	925.5906263941987	-0.3831215305664958
Prdm14_p1_12	Prdm14_p1	R2	RE96	460.17657724476396	890.5617550001608	-0.9525129530534311
Prdm14_p1_12	Prdm14_p1	R2	RE58	555.183709194142	786.1529181200424	-0.5018370949808902
Prdm14_p1_12	Prdm14_p1	R2	RE61	516.5330220237505	655.6534287249788	-0.3440669133598434
Prdm14_p1_12	Prdm14_p1	R2	RE85	734.9821456229583	881.7877847831046	-0.2627190197782693
Prdm14_p1_12	Prdm14_p1	R2	RE127	508.48004011504236	613.4892906949235	-0.270842159863893
Prdm14_p1_12	Prdm14_p1	R2	RE57L	663.3807676104741	677.620179710284	-0.030639195290425338
Prdm14_p1_12	Prdm14_p1	R2	RE57R	787.8430098170719	864.8588750142532	-0.13455492828232252
Prdm14_p1_12	Prdm14_p1	R3	noRE	1182.2345306922784	678.500092482963	0.801086287354513
Prdm14_p1_12	Prdm14_p1	R3	RE57M	902.3941558135141	818.1182916559094	0.14144662014395204
Prdm14_p1_12	Prdm14_p1	R3	RE97	936.1652415394236	383.68792968950885	1.2868076308271585
Prdm14_p1_12	Prdm14_p1	R3	RE93	422.0965073556083	690.6023711595716	-0.710269107272544
Prdm14_p1_12	Prdm14_p1	R3	RE95	615.9331289189201	820.1032722795779	-0.4130260348536851
Prdm14_p1_12	Prdm14_p1	R3	RE96	710.4188284242393	737.2019313535894	-0.05338929449043773
Prdm14_p1_12	Prdm14_p1	R3	RE58	837.9397441235419	1066.2968100479825	-0.34768698035193
Prdm14_p1_12	Prdm14_p1	R3	RE61	855.479046079974	763.2279915970864	0.16461639619178983
Prdm14_p1_12	Prdm14_p1	R3	RE85	681.8389924372847	482.1952121483541	0.4998050191069837
Prdm14_p1_12	Prdm14_p1	R3	RE127	595.3556019739851	589.2578927325748	0.014852209763675971
Prdm14_p1_12	Prdm14_p1	R3	RE57L	506.6063978089306	2208.9668694420457	-2.1244126330032707
Prdm14_p1_12	Prdm14_p1	R3	RE57R	806.3731864373676	897.0141302630752	-0.1536812365548617
Zfx_p1_2	Zfx_p1	R1	noRE	996.836908893188	765.0336236050975	0.38182994508404033
Zfx_p1_2	Zfx_p1	R1	RE57M	1021.603687951593	1026.193150069529	-0.006466599161139009
Zfx_p1_2	Zfx_p1	R1	RE97	1047.143689213709	755.0527866785694	0.4718046792871591
Zfx_p1_2	Zfx_p1	R1	RE93	966.9094747987283	652.9872410940037	0.5663188504275879
Zfx_p1_2	Zfx_p1	R1	RE95	751.2941852434875	822.8961964024693	-0.13133084728036268
