count	Med	sgRNA	rep	cell	xist_ex
2i_sgNT_R2	2i	sgNT	2	74	0
2i_sgNT_R2	2i	sgNT	2	75	0
2i_sgNT_R2	2i	sgNT	2	76	0
2i_sgNT_R2	2i	sgNT	2	77	0
2i_sgNT_R2	2i	sgNT	2	78	0
2i_sgNT_R2	2i	sgNT	2	79	0
2i_sgNT_R2	2i	sgNT	2	80	0
2i_sgNT_R2	2i	sgNT	2	81	0
2i_sgNT_R2	2i	sgNT	2	82	0
2i_sgNT_R2	2i	sgNT	2	83	0
2i_sgNT_R2	2i	sgNT	2	84	0
2i_sgNT_R2	2i	sgNT	2	85	0
2i_sgNT_R2	2i	sgNT	2	86	0
2i_sgNT_R2	2i	sgNT	2	87	0
2i_sgNT_R2	2i	sgNT	2	88	0
2i_sgNT_R2	2i	sgNT	2	89	0
2i_sgNT_R2	2i	sgNT	2	90	0
2i_sgNT_R2	2i	sgNT	2	91	0
2i_sgNT_R2	2i	sgNT	2	92	0
2i_sgNT_R2	2i	sgNT	2	93	0
2i_sgNT_R2	2i	sgNT	2	94	0
2i_sgNT_R2	2i	sgNT	2	95	0
2i_sgNT_R2	2i	sgNT	2	96	0
2i_sgNT_R2	2i	sgNT	2	97	0
2i_sgNT_R2	2i	sgNT	2	98	0
2i_sgNT_R2	2i	sgNT	2	99	0
2i_sgNT_R2	2i	sgNT	2	100	0
2i_sgNT_R3	2i	sgNT	3	1	0
2i_sgNT_R3	2i	sgNT	3	2	0
2i_sgNT_R3	2i	sgNT	3	3	0
2i_sgNT_R3	2i	sgNT	3	4	0
2i_sgNT_R3	2i	sgNT	3	5	0
2i_sgNT_R3	2i	sgNT	3	6	0
2i_sgNT_R3	2i	sgNT	3	7	0
2i_sgNT_R3	2i	sgNT	3	8	0
2i_sgNT_R3	2i	sgNT	3	9	0
2i_sgNT_R3	2i	sgNT	3	10	0
2i_sgNT_R3	2i	sgNT	3	11	0
2i_sgNT_R3	2i	sgNT	3	12	0
2i_sgNT_R3	2i	sgNT	3	13	0
2i_sgNT_R3	2i	sgNT	3	14	0
2i_sgNT_R3	2i	sgNT	3	15	0
2i_sgNT_R3	2i	sgNT	3	16	0
2i_sgNT_R3	2i	sgNT	3	17	0
2i_sgNT_R3	2i	sgNT	3	18	0
2i_sgNT_R3	2i	sgNT	3	19	0
2i_sgNT_R3	2i	sgNT	3	20	0
2i_sgNT_R3	2i	sgNT	3	21	0
2i_sgNT_R3	2i	sgNT	3	22	0
2i_sgNT_R3	2i	sgNT	3	23	0
2i_sgNT_R3	2i	sgNT	3	24	0
2i_sgNT_R3	2i	sgNT	3	25	0
2i_sgNT_R3	2i	sgNT	3	26	0
2i_sgNT_R3	2i	sgNT	3	27	0
2i_sgNT_R3	2i	sgNT	3	28	0
2i_sgNT_R3	2i	sgNT	3	29	0
2i_sgNT_R3	2i	sgNT	3	30	0
2i_sgNT_R3	2i	sgNT	3	31	0
2i_sgNT_R3	2i	sgNT	3	32	0
2i_sgNT_R3	2i	sgNT	3	33	0
2i_sgNT_R3	2i	sgNT	3	34	0
2i_sgNT_R3	2i	sgNT	3	35	0
2i_sgNT_R3	2i	sgNT	3	36	0
2i_sgNT_R3	2i	sgNT	3	37	0
2i_sgNT_R3	2i	sgNT	3	38	0
2i_sgNT_R3	2i	sgNT	3	39	0
2i_sgNT_R3	2i	sgNT	3	40	0
2i_sgNT_R3	2i	sgNT	3	41	0
2i_sgNT_R3	2i	sgNT	3	42	0
2i_sgNT_R3	2i	sgNT	3	43	0
2i_sgNT_R3	2i	sgNT	3	44	0
2i_sgNT_R3	2i	sgNT	3	45	0
2i_sgNT_R3	2i	sgNT	3	46	0
2i_sgNT_R3	2i	sgNT	3	47	0
2i_sgNT_R3	2i	sgNT	3	48	0
2i_sgNT_R3	2i	sgNT	3	49	0
2i_sgNT_R3	2i	sgNT	3	50	0
2i_sgNT_R3	2i	sgNT	3	51	0
2i_sgNT_R3	2i	sgNT	3	52	0
2i_sgNT_R3	2i	sgNT	3	53	0
2i_sgNT_R3	2i	sgNT	3	54	0
2i_sgNT_R3	2i	sgNT	3	55	0
2i_sgNT_R3	2i	sgNT	3	56	0
2i_sgNT_R3	2i	sgNT	3	57	0
2i_sgNT_R3	2i	sgNT	3	58	0
2i_sgNT_R3	2i	sgNT	3	59	0
2i_sgNT_R3	2i	sgNT	3	60	0
2i_sgNT_R3	2i	sgNT	3	61	0
2i_sgNT_R3	2i	sgNT	3	62	0
2i_sgNT_R3	2i	sgNT	3	63	0
2i_sgNT_R3	2i	sgNT	3	64	0
2i_sgNT_R3	2i	sgNT	3	65	0
2i_sgNT_R3	2i	sgNT	3	66	0
2i_sgNT_R3	2i	sgNT	3	67	0
2i_sgNT_R3	2i	sgNT	3	68	0
2i_sgNT_R3	2i	sgNT	3	69	0
2i_sgNT_R3	2i	sgNT	3	70	0
2i_sgNT_R3	2i	sgNT	3	71	0
2i_sgNT_R3	2i	sgNT	3	72	0
2i_sgNT_R3	2i	sgNT	3	73	0
2i_sgNT_R3	2i	sgNT	3	74	0
2i_sgNT_R3	2i	sgNT	3	75	0
2i_sgNT_R3	2i	sgNT	3	76	0
2i_sgNT_R3	2i	sgNT	3	77	0
2i_sgNT_R3	2i	sgNT	3	78	0
2i_sgNT_R3	2i	sgNT	3	79	0
2i_sgNT_R3	2i	sgNT	3	80	0
2i_sgNT_R3	2i	sgNT	3	81	0
2i_sgNT_R3	2i	sgNT	3	82	0
2i_sgNT_R3	2i	sgNT	3	83	0
2i_sgNT_R3	2i	sgNT	3	84	0
2i_sgNT_R3	2i	sgNT	3	85	0
2i_sgNT_R3	2i	sgNT	3	86	0
2i_sgNT_R3	2i	sgNT	3	87	0
2i_sgNT_R3	2i	sgNT	3	88	0
2i_sgNT_R3	2i	sgNT	3	89	0
2i_sgNT_R3	2i	sgNT	3	90	0
2i_sgNT_R3	2i	sgNT	3	91	0
2i_sgNT_R3	2i	sgNT	3	92	0
2i_sgNT_R3	2i	sgNT	3	93	0
2i_sgNT_R3	2i	sgNT	3	94	0
2i_sgNT_R3	2i	sgNT	3	95	0
2i_sgNT_R3	2i	sgNT	3	96	0
2i_sgNT_R3	2i	sgNT	3	97	0
2i_sgNT_R3	2i	sgNT	3	98	0
2i_sgNT_R3	2i	sgNT	3	99	0
2i_sgNT_R3	2i	sgNT	3	100	0
2i_sgOct4_R1	2i	sgOct4	1	1	0
2i_sgOct4_R1	2i	sgOct4	1	2	0
2i_sgOct4_R1	2i	sgOct4	1	3	0
2i_sgOct4_R1	2i	sgOct4	1	4	0
2i_sgOct4_R1	2i	sgOct4	1	5	0
2i_sgOct4_R1	2i	sgOct4	1	6	0
2i_sgOct4_R1	2i	sgOct4	1	7	1
2i_sgOct4_R1	2i	sgOct4	1	8	0
2i_sgOct4_R1	2i	sgOct4	1	9	0
2i_sgOct4_R1	2i	sgOct4	1	10	0
2i_sgOct4_R1	2i	sgOct4	1	11	1
2i_sgOct4_R1	2i	sgOct4	1	12	0
2i_sgOct4_R1	2i	sgOct4	1	13	0
2i_sgOct4_R1	2i	sgOct4	1	14	0
2i_sgOct4_R1	2i	sgOct4	1	15	0
2i_sgOct4_R1	2i	sgOct4	1	16	0
2i_sgOct4_R1	2i	sgOct4	1	17	0
2i_sgOct4_R1	2i	sgOct4	1	18	0
2i_sgOct4_R1	2i	sgOct4	1	19	0
2i_sgOct4_R1	2i	sgOct4	1	20	0
2i_sgOct4_R1	2i	sgOct4	1	21	0
2i_sgOct4_R1	2i	sgOct4	1	22	1
2i_sgOct4_R1	2i	sgOct4	1	23	0
2i_sgOct4_R1	2i	sgOct4	1	24	1
2i_sgOct4_R1	2i	sgOct4	1	25	0
2i_sgOct4_R1	2i	sgOct4	1	26	2
2i_sgOct4_R1	2i	sgOct4	1	27	0
2i_sgOct4_R1	2i	sgOct4	1	28	0
2i_sgOct4_R1	2i	sgOct4	1	29	0
2i_sgOct4_R1	2i	sgOct4	1	30	0
2i_sgOct4_R1	2i	sgOct4	1	31	0
2i_sgOct4_R1	2i	sgOct4	1	32	0
2i_sgOct4_R1	2i	sgOct4	1	33	0
2i_sgOct4_R1	2i	sgOct4	1	34	0
2i_sgOct4_R1	2i	sgOct4	1	35	0
2i_sgOct4_R1	2i	sgOct4	1	36	0
2i_sgOct4_R1	2i	sgOct4	1	37	0
2i_sgOct4_R1	2i	sgOct4	1	38	0
2i_sgOct4_R1	2i	sgOct4	1	39	0
2i_sgOct4_R1	2i	sgOct4	1	40	0
2i_sgOct4_R1	2i	sgOct4	1	41	0
2i_sgOct4_R1	2i	sgOct4	1	42	0
2i_sgOct4_R1	2i	sgOct4	1	43	0
2i_sgOct4_R1	2i	sgOct4	1	44	0
2i_sgOct4_R1	2i	sgOct4	1	45	0
2i_sgOct4_R1	2i	sgOct4	1	46	0
2i_sgOct4_R1	2i	sgOct4	1	47	0
2i_sgOct4_R1	2i	sgOct4	1	48	0
