SRR5763811	E5.5_P11.P6.P10_cell26_embryo7_single
SRR5763812	E5.5_P11.P6.P10_cell27_embryo7_single
SRR5763813	E5.5_P11.P6.P10_cell2_embryo7_single
SRR5763814	E5.5_P11.P6.P10_cell32_embryo7_single
SRR5763815	E5.5_P11.P6.P10_cell33_embryo7_single
SRR5763816	E5.5_P11.P6.P10_cell34_embryo7_single
SRR5763817	E5.5_P11.P6.P10_cell36_embryo7_VE
SRR5763818	E5.5_P11.P6.P10_cell37_embryo7_single
SRR5763819	E5.5_P11.P6.P10_cell40_embryo7_single
SRR5763820	E5.5_P11.P6.P10_cell44_embryo7_single
SRR5763821	E5.5_P11.P6.P10_cell46_embryo7_single
SRR5763822	E5.5_P11.P6.P10_cell49_embryo7_single
SRR5763823	E5.5_P11.P6.P10_cell52_embryo7_single
SRR5763824	E5.5_P11.P6.P10_cell53_embryo7_single
SRR5763825	E5.5_P11.P6.P10_cell54_embryo7_single
SRR5763826	E5.5_P11.P6.P10_cell55_embryo7_single
SRR5763827	E5.5_P11.P6.P10_cell56_embryo7_single
SRR5763828	E5.5_P11.P6.P10_cell57_embryo7_single
SRR5763829	E5.5_P11.P6.P10_cell58_embryo7_double
SRR5763830	E5.5_P11.P6.P10_cell5_embryo7_single
SRR5763831	E5.5_P11.P6.P10_cell60_embryo7_VE
SRR5763832	E5.5_P11.P6.P10_cell61_embryo7_single
SRR5763833	E5.5_P11.P6.P10_cell62_embryo7_single
SRR5763834	E5.5_P11.P6.P10_cell64_embryo7_single
SRR5763835	E5.5_P11.P6.P10_cell65_embryo7_single
SRR5763836	E5.5_P11.P6.P10_cell66_embryo7_single
SRR5763837	E5.5_P11.P6.P10_cell67_embryo7_single
SRR5763838	E5.5_P11.P6.P10_cell68_embryo7_single
SRR5763839	E5.5_P11.P6.P10_cell6_embryo7_single
SRR5763840	E5.5_P11.P6.P10_cell70_embryo7_double
SRR5763841	E5.5_P11.P6.P10_cell72_embryo7_VE
SRR5763842	E5.5_P11.P6.P10_cell73_embryo7_single
SRR5763843	E5.5_P11.P6.P10_cell74_embryo7_single
SRR5763844	E5.5_P11.P6.P10_cell76_embryo7_single
SRR5763845	E5.5_P11.P6.P10_cell77_embryo7_single
SRR5763846	E5.5_P11.P6.P10_cell78_embryo7_single
SRR5763847	E5.5_P11.P6.P10_cell79_embryo7_single
SRR5763848	E5.5_P11.P6.P10_cell80_embryo7_single
SRR5763849	E5.5_P11.P6.P10_cell82_embryo7_double
SRR5763850	E5.5_P11.P6.P10_cell84_embryo7_VE
SRR5763851	E5.5_P11.P6.P10_cell85_embryo7_single
SRR5763852	E5.5_P11.P6.P10_cell89_embryo7_single
SRR5763853	E5.5_P11.P6.P10_cell92_embryo7_single
SRR5763854	E5.5_P11.P6.P10_cell93_embryo7_single
SRR5763855	E5.5_P11.P6.P10_cell94_embryo7_double
SRR5763856	E5.5_P11.P6.P10_cell96_embryo7_VE
SRR5763857	E5.5_P11.P6.P10_cell97_embryo8_single
SRR5763858	E5.5_P11.P6.P10_cell98_embryo8_single
SRR5763859	E5.5_P11.P6.P10_cell99_embryo8_single
SRR5763860	E5.5_P1_cell10_embryo9_single
SRR5763861	E5.5_P1_cell11_embryo9_single
SRR5763862	E5.5_P1_cell14_embryo9_single
SRR5763863	E5.5_P1_cell15_embryo9_single
SRR5763864	E5.5_P1_cell16_embryo9_single
SRR5763865	E5.5_P1_cell17_embryo9_single
SRR5763866	E5.5_P1_cell19_embryo9_single
SRR5763867	E5.5_P1_cell1_embryo9_single
SRR5763868	E5.5_P1_cell20_embryo9_single
SRR5763869	E5.5_P1_cell21_embryo9_double
SRR5763870	E5.5_P1_cell22_embryo9_double
SRR5763871	E5.5_P1_cell23_embryo9_double
SRR5763872	E5.5_P1_cell24_embryo9_double
SRR5763873	E5.5_P1_cell25_embryo9_double
SRR5763874	E5.5_P1_cell26_embryo9_double
SRR5763875	E5.5_P1_cell27_embryo9_double
SRR5763876	E5.5_P1_cell2_embryo9_single
SRR5763877	E5.5_P1_cell30_embryo9_double
SRR5763878	E5.5_P1_cell32_embryo9_double
SRR5763879	E5.5_P1_cell33_embryo9_double
SRR5763880	E5.5_P1_cell34_embryo9_double
SRR5763881	E5.5_P1_cell35_embryo9_double
SRR5763882	E5.5_P1_cell36_embryo9_double
SRR5763883	E5.5_P1_cell37_embryo9_double
SRR5763884	E5.5_P1_cell38_embryo9_double
SRR5763885	E5.5_P1_cell39_embryo9_double
SRR5763886	E5.5_P1_cell3_embryo9_single
SRR5763887	E5.5_P1_cell40_embryo9_double
SRR5763888	E5.5_P1_cell41_embryo9_double
SRR5763889	E5.5_P1_cell42_embryo9_double
SRR5763890	E5.5_P1_cell43_embryo9_double
SRR5763891	E5.5_P1_cell44_embryo9_double
SRR5763892	E5.5_P1_cell45_embryo9_double
SRR5763893	E5.5_P1_cell46_embryo9_double
SRR5763894	E5.5_P1_cell47_embryo9_double
SRR5763895	E5.5_P1_cell5_embryo9_single
SRR5763896	E5.5_P1_cell7_embryo9_single
SRR5763897	E5.5_P1_cell8_embryo9_single
SRR5763898	E5.5_P1_cell9_embryo9_single
SRR5763899	E5.5_P2.P3_cell100_embryo2_single
SRR5763900	E5.5_P2.P3_cell101_embryo2_single
SRR5763901	E5.5_P2.P3_cell108_embryo2_single
SRR5763902	E5.5_P2.P3_cell10_embryo1_single
SRR5763903	E5.5_P2.P3_cell110_embryo2_single
SRR5763904	E5.5_P2.P3_cell111_embryo2_single
SRR5763905	E5.5_P2.P3_cell112_embryo2_single
SRR5763906	E5.5_P2.P3_cell115_embryo2_single
SRR5763907	E5.5_P2.P3_cell117_embryo2_single
SRR5763908	E5.5_P2.P3_cell119_embryo2_single
SRR5763909	E5.5_P2.P3_cell120_embryo2_single
