cell	stage	embryo	run	sex
E6.75_cell76_Embryo2_Single	E6.75	embryo2	NA	XY
E6.75_cell77_Embryo2_Single	E6.75	embryo2	NA	XY
E6.75_cell78_Embryo2_Single	E6.75	embryo2	NA	XY
E6.75_cell79_Embryo2_Single	E6.75	embryo2	NA	XY
E6.75_cell7_Embryo1_Double	E6.75	embryo1	NA	XY
E6.75_cell80_Embryo2_Single	E6.75	embryo2	NA	XY
E6.75_cell82_Embryo2_Single	E6.75	embryo2	NA	XY
E6.75_cell83_Embryo2_Single	E6.75	embryo2	NA	XY
E6.75_cell84_Embryo2_Single	E6.75	embryo2	NA	XY
E6.75_cell85_Embryo2_Single	E6.75	embryo2	NA	XY
E6.75_cell86_Embryo2_Single	E6.75	embryo2	NA	XY
E6.75_cell87_Embryo2_Single	E6.75	embryo2	NA	XY
E6.75_cell88_Embryo2_Single	E6.75	embryo2	NA	XY
E6.75_cell8_Embryo1_Single	E6.75	embryo1	NA	XY
E6.75_cell90_Embryo2_Single	E6.75	embryo2	NA	XY
E6.75_cell92_Embryo2_Single	E6.75	embryo2	NA	XY
E6.75_cell93_Embryo2_Single	E6.75	embryo2	NA	XY
E6.75_cell94_Embryo2_Single	E6.75	embryo2	NA	XY
E6.75_cell95_Embryo2_Single	E6.75	embryo2	NA	XY
E6.75_cell96_Embryo2_Single	E6.75	embryo2	NA	XY
E6.75_cell9_Embryo1_Single	E6.75	embryo1	NA	XY
