Gene	reporter	pval	fdr	lfc	norm_lfc	zfc
Hmg20b_p1	RE58	0.8878250889173936	1	-0.3138644492405817	-0.121885503326098	-0.02641338373439708
Hmg20b_p1	RE61	0.7024169148022178	1	-0.2903595869953634	-0.09838064108087971	-0.07267490890464275
Hmg20b_p1	RE85	0.4331854151915585	1	-0.5152342452435826	-0.3232552993290989	0.126489482952927
Hmg20b_p1	RE93	0.9697552212276631	1	-0.21756212686997095	-0.025583180955487256	0.006243623905181215
Hmg20b_p1	RE95	0.4867775747364568	1	-0.2175309189707638	-0.025551973056280097	-0.12449528697333932
Hmg20b_p1	RE96	0.6442997867401109	1	-0.35462076431400585	-0.16264181839952213	0.06615814016428877
Hmg20b_p1	RE97	0.052650633700308404	1	-0.13406742034526054	0.05791152556922317	-0.28086289331050285
Id2_p2	RE127	0.8886923477797393	1	-0.035837846200957015	-0.04334250045080328	-0.019006416349919824
Id2_p2	RE57L	0.6556693052529257	1	-0.11458460607360178	-0.12208926032344804	-0.07266114553024848
Id2_p2	RE57M	0.05117530004959352	1	0.13517737862448034	0.1276727243746341	-0.31770838001587226
Id2_p2	RE57R	0.8954907123431608	1	-0.10581042703320866	-0.11331508128305491	0.033045679830516754
Id2_p2	RE58	0.6798244073312001	1	-0.10153828084222422	-0.10904293509207048	-0.06587365415310459
Id2_p2	RE61	2.7253024102459955e-5	0.0028343145066558354	0.2421242473876129	0.23461959313776665	-0.6469205530357425
Id2_p2	RE85	0.3537463199454679	1	-0.12757486596024686	-0.13507952021009315	-0.11720623961671586
Id2_p2	RE93	0.842428380371872	1	-0.04666053646185733	-0.054165190711703594	0.055707342689736754
Id2_p2	RE95	0.029405180447880874	1	0.12982070504731344	0.12231605079746717	-0.4026712203674314
Id2_p2	RE96	0.028624237537127405	1	0.09680912207780716	0.08930446782796089	-0.36062709114790575
Id2_p2	RE97	0.6191795226938854	1	-0.15395550167709493	-0.16146015592694118	0.08934582375684717
Klf16_p1	RE127	4.255830866814817e-5	0.0045537390274918545	-0.5435802436261874	-0.4068811878758885	0.7024727615955778
Klf16_p1	RE57L	0.3986128446071161	1	-0.19906386488207384	-0.06236480913177494	-0.14351843989551277
Klf16_p1	RE57M	0.9107847552414251	1	-0.2423950813191594	-0.10569602556886049	-0.019379036995370198
Klf16_p1	RE57R	0.7639044690194109	1	-0.20616158601571202	-0.06946253026541313	-0.076927450552656207
Klf16_p1	RE58	0.6862677348438686	1	-0.2364162452983767	-0.09971718954807782	-0.08803768088082871
Klf16_p1	RE61	0.06882629157118227	1	-0.5042430343194452	-0.36754397856914633	0.372434750914289
Klf16_p1	RE85	0.6683071574298023	1	-0.4254833714592493	-0.2887843157089504	0.08627380347418909
Klf16_p1	RE93	0.2793903127159454	1	-0.2526466124387523	-0.11594755668845338	0.1788593755230769
Klf16_p1	RE95	0.8488105289264871	1	-0.21731225379120467	-0.08061319804090579	0.028876162213423207
Klf16_p1	RE96	0.7087809301440462	1	-0.3254289808999537	-0.1887299251496548	0.078667839361196
